Name,Category,Windows App?,In B_installed_windows_software.csv?,macOS Package(s),Source / URL,Notes,Can be synched to macOS alternative,macOS Alternative Type,Download URL
Adobe Acrobat Pro,PDF,"No, hardcoded inclusion",No,adobe-acrobat-pro (Homebrew Cask),adobe.com,"Adobe ships a full native macOS build of Acrobat Pro - the exact equivalent. Preview (built into macOS) already merges, signs and annotates PDFs for free.","No, manual transfer",Native (Homebrew Cask),https://www.adobe.com/acrobat/pdf-reader.html
Advanced IP Scanner,Network,"No, hardcoded inclusion",No,angry-ip-scanner (Homebrew Cask),angryip.org,Scans IPs + ports with a GUI. Hardcoded in the manifest and installer.,"No, manual transfer",Native (Homebrew Cask),https://angryip.org/download/
Advanced Port Scanner,Network,"No, hardcoded inclusion",No,nmap (Homebrew formula) + angry-ip-scanner (Cask),nmap.org; angryip.org,Fast port scanning. nmap runs natively on macOS.,"No, manual transfer",Native (Homebrew formula),https://nmap.org/download#macosx
Telegram,Messaging,"No, hardcoded inclusion",No,telegram (Homebrew Cask),telegram.org,Official native macOS client (a separate Swift app - not an Electron wrapper).,Yes,Native (Homebrew Cask),https://macos.telegram.org/
Terminator,Terminal,"No, hardcoded inclusion",No,iterm2 (Homebrew Cask),iterm2.com,"iTerm2 is the macOS power-user terminal: split panes, profiles, search, tmux integration.","No, manual transfer",Native (Homebrew Cask),https://iterm2.com/downloads.html
WindTerm,Terminal,"No, hardcoded inclusion",No,windterm (Homebrew Cask),github.com/kingToolfish/WindTerm,Fast SSH/Telnet/Serial client with a file manager; official macOS build.,"No, manual transfer",Native (Homebrew Cask),https://github.com/kingToolfish/WindTerm/releases
WinDirStat,Disk Utility,"No, hardcoded inclusion",No,grandperspective (Homebrew Cask),grandperspectiv.sourceforge.net,Disk-usage treemap - the macOS-native WinDirStat equivalent.,"No, manual transfer",Native (Homebrew Cask),https://grandperspectiv.sourceforge.net/
PaperCut,Print,"Yes, exists on Windows",Yes (CSV row present),PaperCut Print Deploy native macOS client,Your PaperCut server (https://<server>:9174),"Hard-coded inclusion: install the NATIVE PaperCut macOS client, NEVER substitute plain CUPS. Download it from your own PaperCut server.","No, manual transfer",Native (manual install),https://<server>:9174
Notepad++,Editor,"Yes, exists on Windows",Yes (CSV row present),bbedit (Cask) + sublime-text (Cask) + the real Notepad++ under Wine,barebones.com; sublimetext.com; notepad-plus-plus.org,"Notepad++ is Windows-only. BBEdit is the classic macOS-native editor; the real Notepad++ can still run under Wine (64-bit installer only).","No, manual transfer",Native (Homebrew Cask) + Wine,https://www.barebones.com/products/bbedit/download.html
PowerToys,Utilities (multi-tool),"Yes, exists on Windows",Yes (CSV row present),"rectangle (FancyZones) + raycast (PowerToys Run) + shottr (screen ruler/OCR) + hammerspoon (keyboard remap) + appcleaner","Homebrew Casks: rectangle, raycast, shottr, hammerspoon, appcleaner","Maps to several focused macOS tools, one per PowerToys feature; macOS itself already covers text extraction (Live Text), colour picking (Digital Colour Meter) and image resizing (Preview).","No, manual transfer",Native (Homebrew Cask) + built into macOS,https://rectangleapp.com/
