Name,Category,Windows App?,In installed_windows_software.csv?,Linux Package(s),Source / URL,Notes,Can be synched to Linux alternative
Adobe Acrobat Pro,PDF,"No, hardcoded inclusion",No,Stirling PDF (Docker) + PDF Arranger (APT),stirlingtools.com (Docker Hub); pdfarranger (APT),Full PDF toolkit: merge/split/OCR/sign/compress/convert. Hardcoded in $LinuxKB and installer.,No, manual transfer
Advanced IP Scanner,Network,"No, hardcoded inclusion",No,Angry IP Scanner (.deb),angryip.org,Scans IPs + ports with GUI. Hardcoded in $LinuxKB and installer.,No, manual transfer
Advanced Port Scanner,Network,"No, hardcoded inclusion",No,RustScan + nmap + Zenmap,github.com/RustScan/RustScan; nmap.org,Fast port scanning. Hardcoded in $LinuxKB and installer.,No, manual transfer
Telegram,Messaging,"No, hardcoded inclusion",No,telegram-desktop (APT/Flatpak),telegram.org,Official Telegram client for Linux. Hardcoded in $LinuxKB and installer.,Yes
Terminator,Terminal,"No, hardcoded inclusion",No,terminator (APT),gnometerminator.blogspot.com,Feature-rich terminal emulator with tiling/grouping. Hardcoded in $LinuxKB and installer.,No, manual transfer
WindTerm,Terminal,"No, hardcoded inclusion",No,WindTerm .deb from GitHub,github.com/kingToolfish/WindTerm,Fast SSH/Telnet/Serial client with file manager. Hardcoded installer step.,No, manual transfer
WinDirStat,Disk Utility,"No, hardcoded inclusion",No,QDirStat + baobab (APT),github.com/shundhammer/qdirstat; GNOME baobab,Disk usage analyzer. Hardcoded in $LinuxKB and installer.,No, manual transfer
PaperCut,Print,"Yes, exists on Windows",Yes (CSV row present),PaperCut Print Deploy Native Linux client,Your PaperCut server (https://<server>:9174),"Hard-coded inclusion, install the NATIVE PaperCut client, NEVER substitute CUPS. PAPERCUT_SERVER env var for unattended install.",No, manual transfer
Notepad++,Editor,"Yes, exists on Windows",Yes (CSV row present),notepadqq (APT) + geany (APT) + Notepad++ Windows .exe under Wine,github.com/notepad-plus-plus/notepad-plus-plus (Wine .exe),Both native Linux alternatives AND the real Notepad++ under Wine. Hardcoded Wine install step in installer.,No, manual transfer
PowerToys,Utilities (multi-tool),"Yes, exists on Windows",Yes (CSV row present),"Frog (OCR) + Ulauncher (Run) + gpick (Color Picker) + nautilus-image-converter + imagemagick (Image Resizer) + Barrier (Mouse Without Borders) + KMag (ZoomIt) + ibus-typing-booster (Keyboard) + lsof (File Locksmith) + Info-only (Find My Mouse, Shortcut Guide)","Flathub: com.tenderowl.frog, com.github.debauchee.barrier; APT: ulauncher (PPA on noble), gpick, nautilus-image-converter, imagemagick, kmag, ibus-typing-booster, lsof","Maps to 10 separate Linux packages, one per PowerToys feature. Hardcoded split in installer with individual step labels.",No, manual transfer
WinRAR,Archiving,"Yes, exists on Windows",Yes (CSV row present),p7zip-full + p7zip-rar + unrar (APT) + PeaZip (APT) + WinRAR Windows .exe under Wine,win-rar.com; rarlab.com,Native RAR support via APT packages + the real WinRAR installed under Wine. Hardcoded Wine install step in installer.,No, manual transfer
Internet Download Manager (IDM),Download Manager,"Yes, exists on Windows",Yes (CSV row present),uGet (APT) + XDM / Xtreme Download Manager (.deb) + IDM Windows .exe under Wine,internetdownloadmanager.com; github.com/subhra74/xdm,Native alternatives + the real IDM under Wine. Hardcoded Wine install + extension pages in installer.,No, manual transfer
Microsoft 365 / Office,Office Suite,"Yes, exists on Windows",Yes (CSV row present),LibreOffice (APT) + WebApp .desktop shortcuts for Word/Excel/PPT/Outlook/OneDrive/ToDo/Copilot/Claude/Reverso,libreoffice.org; office.com,Native office suite + .desktop web shortcuts for online apps. Hardcoded web-app section in installer.,No, manual transfer
Visual Studio Community 2026,IDE,"Yes, exists on Windows",Yes (CSV row present),VS Code (APT repo) + JetBrains Rider (optional),code.visualstudio.com; jetbrains.com/rider,VS Code or JetBrains Rider + .NET SDK CLI (native on Linux). Hardcoded alternative path.,No, manual transfer
Visual Studio Build Tools 2026,Build Tools,"Yes, exists on Windows",Yes (CSV row present),dotnet-sdk (APT repo) + MSBuild via Mono + gcc/clang + make/CMake,packages.microsoft.com,Build toolchain for .NET on Linux. Hardcoded alternative path.,No, manual transfer
Adobe Digital Editions,eBook / DRM,"Yes, exists on Windows",Yes (CSV row present),Thorium Reader (Flatpak) + calibre (APT) + Foliate (APT),edrlab.org; calibre-ebook.com; johnfactotum.github.io/foliate,DRM-free EPUB reading + LCP DRM support via Thorium. Hardcoded alternative path.,No, manual transfer
VMware Workstation,Virtualization,"Yes, exists on Windows",Yes (CSV row present),VMware Workstation Pro for Linux (.bundle from Broadcom),support.broadcom.com (login-gated),"MANUAL section, needs Broadcom account. Free for personal use. Hardcoded MANUAL prompt in installer.",No, manual transfer
Gurobi,Optimization Solver,"Yes, exists on Windows",Yes (CSV row present),Gurobi Linux .tar.gz (commercial) + glpk-utils + coinor-cbc (free fallback),gurobi.com (license-gated),"MANUAL section, commercial solver. Free alternatives (glpk/cbc) auto-installed first.",No, manual transfer
SpotPlayer,Streaming,"Yes, exists on Windows",Yes (CSV row present),SpotPlayer Linux .deb,spotplayer.ir,MANUAL section with explicit warning about unverified source. Not auto-installed.,No, manual transfer
RStudio,Data Science,"Yes, exists on Windows",Yes (CSV row present),"RStudio .deb (auto URL first, manual fallback)",posit.co/download/rstudio-desktop,Auto-download attempted first; falls back to MANUAL prompt if URL fails.,No, manual transfer
RealVNC Viewer,Remote Desktop,"Yes, exists on Windows",Yes (CSV row present),RealVNC Viewer vendor .deb,downloads.realvnc.com,"Vendor .deb (architecture-aware URL). Hardcoded as vendor .deb, NOT Flatpak.",No, manual transfer
Pinta,Image Editor,"Yes, exists on Windows",Yes (CSV row present),Pinta (Flatpak),flathub.org: com.github.PintaProject.Pinta,"Flatpak only on Ubuntu 24.04+, removed from APT repos. Hardcoded Flatpak path.",No, manual transfer
LanguageTool,Grammar / Writing,"No, best Linux alternative for Grammarly","Yes (Grammarly CSV row present, LanguageTool listed as alternative)",LanguageTool .zip from languagetool.org,languagetool.org,Installed to /opt/languagetool with wrapper at /usr/local/bin/languagetool. Hardcoded script/binary install step.,No, manual transfer
Proton VPN,VPN,"No, best Linux alternative for Hotspot Shield / Psiphon","Yes (Hotspot Shield / Psiphon CSV rows present, Proton VPN listed as alternative)",proton-vpn-gnome-desktop (APT repo),repo.protonvpn.com,Replaces both Hotspot Shield and Psiphon. Vendor APT repo.,No, manual transfer
